nodeId,dataSplit,map,shuffle,reduce,makespan,criticalPath
21,7,37,13,3,60,0
22,6,41,9,5,61,0
23,7,40,8,5,60,0
24,6,35,14,3,58,0
25,5,43,12,5,65,0
26,4,37,14,3,58,0
27,5,43,8,3,59,0
28,7,35,14,6,62,0
29,5,35,13,6,59,0
30,4,35,9,3,51,0
1,5,42,8,6,61,0
2,4,40,13,3,60,0
3,6,41,13,6,66,1
4,6,35,7,4,52,0
5,7,39,13,3,62,0
6,4,41,12,5,62,0
7,7,41,8,5,61,0
8,7,35,11,3,56,0
9,6,38,13,3,60,0
10,4,37,8,4,53,0
11,4,36,11,4,55,0
12,7,40,12,6,65,0
13,6,39,10,5,60,0
14,6,40,10,3,59,0
15,4,40,10,4,58,0
16,5,43,14,3,65,0
17,5,43,9,6,63,0
18,5,43,7,4,59,0
19,5,35,9,3,52,0
20,4,36,12,3,55,0
21,5,42,11,3,61,0
22,6,37,8,6,57,0
23,4,39,8,5,56,0
24,5,42,8,6,61,0
25,7,42,11,6,66,1
26,5,42,11,3,61,0
27,7,36,10,3,56,0
28,5,41,8,5,59,0
29,7,38,9,4,58,0
30,6,35,7,3,51,0
1,5,43,7,5,60,0
2,5,38,8,6,57,0
3,4,35,9,5,53,0
4,4,42,7,3,56,0
5,7,42,10,6,65,1
6,4,35,12,4,55,0
7,5,41,11,6,63,0
8,6,36,13,4,59,0
9,6,39,13,6,64,0
10,7,37,13,4,61,0
11,5,38,13,3,59,0
12,7,37,13,3,60,0
13,6,37,14,3,60,0
14,6,40,9,6,61,0
15,4,37,12,3,56,0
16,6,37,8,6,57,0
17,4,40,14,5,63,0
18,6,38,14,6,64,0
19,5,37,11,5,58,0
20,6,40,11,6,63,0
21,7,41,9,4,61,0
22,5,43,7,5,60,0
23,5,37,11,6,59,0
24,4,35,10,4,53,0
25,6,35,11,3,55,0
26,4,40,13,4,61,0
27,7,40,10,3,60,0
28,6,38,14,4,62,0
29,7,37,7,5,56,0
30,4,40,10,4,58,0
1,6,40,9,5,60,0
2,4,37,10,5,56,0
3,6,36,12,4,58,0
4,7,35,13,6,61,0
5,4,39,12,4,59,0
6,6,42,8,5,61,0
7,5,37,12,3,57,0
8,5,39,13,6,63,0
9,5,39,7,6,57,0
10,6,36,11,3,56,0
11,4,42,12,4,62,0
12,4,43,12,3,62,0
13,6,36,7,5,54,0
14,4,38,8,4,54,0
15,7,40,8,4,59,0
16,7,40,7,6,60,0
17,6,36,10,5,57,0
18,7,38,7,5,57,0
19,6,38,7,3,54,0
20,4,36,14,4,58,0
21,7,35,12,3,57,0
22,5,39,9,3,56,0
23,4,38,12,6,60,0
24,7,35,11,5,58,0
25,5,42,13,4,64,1
26,6,38,7,6,57,0
27,6,40,12,5,63,0
28,5,36,11,6,58,0
29,5,40,13,6,64,1
30,6,39,13,4,62,0
1,6,35,14,4,59,0
2,7,40,9,3,59,0
3,6,43,12,4,65,0
4,7,39,13,3,62,0
5,5,41,10,4,60,0
6,4,40,8,4,56,0
7,4,42,13,4,63,0
8,4,43,7,4,58,0
9,7,37,10,3,57,0
10,4,36,8,6,54,0
11,5,36,9,4,54,0
12,7,42,13,5,67,1
13,5,37,12,3,57,0
14,5,41,14,3,63,0
15,5,41,9,6,61,0
16,5,38,11,3,57,0
17,7,43,12,4,66,0
18,4,36,7,6,53,0
19,6,35,14,6,61,0
20,7,37,13,5,62,0
21,5,36,7,3,51,0
22,4,40,13,4,61,0
23,5,37,8,4,54,0
24,4,41,14,5,64,0
25,5,35,13,6,59,0
26,7,43,11,6,67,1
27,4,37,10,6,57,0
28,5,40,7,5,57,0
29,6,42,10,5,63,0
30,6,38,9,5,58,0
1,5,37,8,3,53,0
2,5,41,7,3,56,0
3,5,42,10,6,63,0
4,6,38,8,3,55,0
5,5,38,14,4,61,0
6,4,39,11,3,57,0
7,5,40,8,5,58,0
8,6,41,7,3,57,0
9,5,35,8,4,52,0
10,5,40,14,3,62,0
11,7,42,14,6,69,1
12,6,43,13,6,68,0
13,5,41,13,6,65,0
14,5,39,11,6,61,0
15,6,35,10,5,56,0
16,7,37,11,6,61,0
17,7,38,8,3,56,0
18,5,37,9,3,54,0
19,6,36,12,6,60,0
20,5,35,14,3,57,0
21,6,41,11,5,63,0
22,5,41,13,6,65,0
23,4,42,10,6,62,0
24,6,41,9,5,61,0
25,6,41,7,4,58,0
26,6,37,12,6,61,0
27,5,43,10,4,62,0
28,7,42,8,4,61,0
29,7,35,8,3,53,0
30,6,35,9,4,54,0
1,7,43,12,3,65,0
2,6,35,12,5,58,0
3,5,38,13,4,60,0
4,5,38,7,4,54,0
5,6,42,8,4,60,0
6,7,40,7,4,58,0
7,7,37,11,4,59,0
8,5,42,11,6,64,0
9,5,36,8,6,55,0
10,6,38,9,5,58,0
11,5,43,14,3,65,0
12,5,36,12,3,56,0
13,6,40,11,5,62,0
14,6,35,14,5,60,0
15,4,37,13,6,60,0
16,6,38,9,3,56,0
17,5,41,10,5,61,0
18,4,42,9,5,60,0
19,5,40,10,6,61,0
20,5,37,14,6,62,0
21,4,41,14,3,62,0
22,6,41,13,6,66,1
23,7,38,10,5,60,0
24,4,37,7,3,51,0
25,6,41,11,5,63,0
26,5,36,10,5,56,0
27,7,43,9,4,63,0
28,5,41,7,6,59,0
29,6,40,12,3,61,0
30,5,35,9,3,52,0
1,4,37,10,5,56,0
2,4,40,14,5,63,0
3,5,43,12,3,63,0
4,7,35,8,6,56,0
5,5,37,10,5,57,0
6,4,41,7,5,57,0
7,5,40,11,4,60,0
8,4,36,14,5,59,0
9,6,42,7,4,59,0
10,6,38,12,5,61,0
11,7,37,11,4,59,0
12,6,42,9,3,60,0
13,5,41,13,4,63,0
14,4,38,11,3,56,0
15,5,42,13,3,63,0
16,7,42,7,3,59,0
17,4,39,9,3,55,0
18,7,41,12,4,64,1
19,5,41,11,5,62,0
20,6,38,12,3,59,0
21,6,37,13,6,62,0
22,7,37,7,6,57,0
23,6,42,8,4,60,0
24,7,36,13,5,61,0
25,7,40,8,4,59,0
26,7,39,11,4,61,0
27,6,40,11,4,61,0
28,5,39,10,6,60,0
29,4,43,12,4,63,0
30,6,39,13,6,64,1
1,5,38,7,3,53,0
2,6,38,13,3,60,0
3,7,41,14,6,68,1
4,7,42,10,6,65,0
5,4,37,12,6,59,0
6,6,42,10,3,61,0
7,7,37,13,3,60,0
8,5,42,7,5,59,0
9,6,42,14,6,68,1
10,4,36,8,3,51,0
11,6,43,7,4,60,0
12,7,39,7,3,56,0
13,5,43,10,3,61,0
14,4,43,10,3,60,0
15,7,39,14,6,66,0
16,6,40,10,3,59,0
17,6,35,10,4,55,0
18,4,38,12,5,59,0
19,4,35,9,3,51,0
20,5,40,8,3,56,0
21,4,43,8,5,60,0
22,5,41,8,4,58,0
23,4,35,9,5,53,0
24,5,40,7,5,57,0
25,7,43,10,3,63,0
26,4,41,8,5,58,0
27,4,35,10,6,55,0
28,5,35,13,4,57,0
29,4,43,14,5,66,0
30,4,40,7,5,56,0
1,7,35,9,6,57,0
2,7,41,10,4,62,0
3,4,42,10,6,62,0
4,4,38,10,5,57,0
5,5,39,13,4,61,0
6,6,37,9,5,57,0
7,5,38,13,4,60,0
8,5,41,9,3,58,0
9,6,37,13,4,60,0
10,7,42,9,6,64,0
11,7,39,12,6,64,0
12,5,39,13,6,63,0
13,6,43,8,3,60,0
14,5,38,10,3,56,0
15,7,35,11,3,56,0
16,4,40,10,5,59,0
17,4,39,10,3,56,0
18,6,35,14,3,58,0
19,4,42,9,5,60,0
20,7,41,14,6,68,1
21,5,42,13,4,64,0
22,6,39,11,6,62,0
23,5,43,13,4,65,0
24,4,40,10,5,59,0
25,7,39,10,3,59,0
26,4,36,14,5,59,0
27,6,41,10,6,63,0
28,5,37,14,3,59,0
29,5,42,13,5,65,0
30,5,37,12,3,57,0
1,6,35,13,4,58,0
2,7,39,12,4,62,0
3,7,41,10,4,62,0
4,4,42,14,5,65,1
5,4,43,8,6,61,0
6,5,43,8,5,61,0
7,7,42,11,5,65,1
8,7,41,7,3,58,0
9,4,40,12,3,59,0
10,4,37,9,4,54,0
11,5,35,14,6,60,0
12,6,36,8,5,55,0
13,6,41,9,3,59,0
14,6,38,9,5,58,0
15,7,38,12,5,62,0
16,4,40,8,3,55,0
17,4,38,10,6,58,0
18,7,37,14,4,62,0
19,6,43,10,4,63,0
20,7,36,7,3,53,0
21,5,38,13,6,62,0
22,7,41,10,3,61,0
23,5,38,13,4,60,0
24,7,36,7,3,53,0
25,4,40,13,4,61,0
26,5,42,7,3,57,0
27,5,37,12,4,58,0
28,5,36,9,5,55,0
29,7,40,14,4,65,1
30,4,38,9,5,56,0
1,4,41,9,6,60,0
2,7,41,7,4,59,0
3,6,39,12,3,60,0
4,5,37,10,4,56,0
5,5,43,14,5,67,1
6,7,38,9,6,60,0
7,6,35,11,3,55,0
8,5,36,13,6,60,0
9,7,41,10,5,63,0
10,6,37,12,6,61,0
11,5,42,12,3,62,0
12,4,40,12,3,59,0
13,4,43,9,3,59,0
14,5,41,7,5,58,0
15,6,38,12,5,61,0
16,4,37,8,5,54,0
17,6,42,11,5,64,0
18,7,39,10,4,60,0
19,5,38,11,4,58,0
20,5,42,12,6,65,0
21,4,36,12,3,55,0
22,5,37,7,4,53,0
23,7,36,9,5,57,0
24,6,39,7,6,58,0
25,6,41,12,4,63,0
26,6,41,11,5,63,0
27,6,42,12,3,63,0
28,7,39,11,5,62,0
29,6,35,13,4,58,0
30,6,35,12,5,58,0
1,6,37,7,6,56,0
2,7,36,8,3,54,0
3,4,37,9,3,53,0
4,6,36,11,3,56,0
5,5,38,7,4,54,0
6,5,37,9,3,54,0
7,7,35,11,6,59,0
8,7,38,13,4,62,0
9,7,35,8,6,56,0
10,4,40,8,4,56,0
11,7,38,8,3,56,0
12,6,42,7,4,59,0
13,6,41,9,6,62,0
14,5,36,10,3,54,0
15,6,37,10,5,58,0
16,5,41,11,5,62,0
17,4,35,11,6,56,0
18,7,36,12,6,61,0
19,7,40,14,6,67,1
20,6,35,8,4,53,0
21,5,35,7,4,51,0
22,5,39,11,5,60,0
23,4,43,8,5,60,0
24,5,39,10,3,57,0
25,4,36,14,3,57,0
26,5,35,7,4,51,0
27,5,40,14,5,64,0
28,5,42,14,6,67,1
29,7,41,8,6,62,0
30,5,37,14,6,62,0
1,6,38,14,3,61,0
2,7,39,7,3,56,0
3,4,43,12,6,65,0
4,5,39,10,3,57,0
5,7,37,12,6,62,0
6,5,39,8,4,56,0
7,4,43,7,4,58,0
8,6,40,11,5,62,0
9,4,41,13,4,62,0
10,5,39,8,6,58,0
11,6,35,11,5,57,0
12,4,37,12,5,58,0
13,6,38,11,4,59,0
14,5,40,10,6,61,0
15,7,35,9,4,55,0
16,4,37,12,4,57,0
17,7,42,12,6,67,0
18,7,36,9,5,57,0
19,4,38,14,4,60,0
20,4,42,12,3,61,0
21,6,43,14,6,69,1
22,7,42,14,3,66,0
23,6,38,13,4,61,0
24,4,37,13,6,60,0
25,7,40,8,4,59,0
26,4,43,13,6,66,0
27,6,41,9,6,62,0
28,4,39,8,3,54,0
29,5,43,8,4,60,0
30,6,39,10,3,58,0
1,6,35,11,3,55,0
2,7,41,13,3,64,0
3,5,42,7,6,60,0
4,6,35,12,3,56,0
5,5,43,10,5,63,0
6,5,36,9,3,53,0
7,4,43,9,5,61,0
8,6,39,11,3,59,0
9,7,38,11,6,62,0
10,5,35,14,4,58,0
11,7,37,12,4,60,0
12,5,36,10,6,57,0
13,6,43,9,4,62,0
14,4,39,12,3,58,0
15,6,42,8,6,62,0
16,7,35,13,6,61,0
17,7,41,10,3,61,0
18,4,41,7,3,55,0
19,4,35,12,4,55,0
20,4,39,13,6,62,0
21,4,43,8,3,58,0
22,5,39,11,4,59,0
23,4,36,10,6,56,0
24,5,43,10,6,64,0
25,5,41,9,5,60,0
26,4,37,12,3,56,0
27,5,39,13,3,60,0
28,5,42,7,5,59,0
29,7,39,14,6,66,1
30,5,39,11,5,60,0
1,4,43,14,3,64,0
2,7,41,12,3,63,0
3,6,38,8,4,56,0
4,6,40,12,4,62,0
5,4,36,7,4,51,0
6,7,38,13,6,64,0
7,7,43,7,3,60,0
8,4,39,8,5,56,0
9,6,42,12,5,65,0
10,5,43,8,3,59,0
11,4,40,14,3,61,0
12,4,43,9,6,62,0
13,6,36,13,5,60,0
14,7,43,8,6,64,0
15,4,36,13,6,59,0
16,4,36,13,3,56,0
17,4,35,14,6,59,0
18,7,41,11,3,62,0
19,5,43,7,6,61,0
20,6,41,13,6,66,1
21,5,41,14,4,64,0
22,4,35,14,3,56,0
23,7,39,8,5,59,0
24,5,43,11,6,65,0
25,7,40,9,6,62,0
26,4,35,11,4,54,0
27,6,43,11,3,63,0
28,5,41,12,4,62,0
29,7,38,14,4,63,0
30,4,41,11,6,62,0
1,5,40,11,6,62,0
2,4,38,11,6,59,0
3,6,39,10,3,58,0
4,7,43,12,4,66,0
5,4,37,9,4,54,0
6,7,43,14,4,68,1
7,6,35,14,4,59,0
8,7,39,12,3,61,0
9,7,42,9,6,64,0
10,6,37,14,3,60,0
11,6,37,10,4,57,0
12,6,43,9,3,61,0
13,5,40,12,5,62,0
14,5,42,12,3,62,0
15,6,38,10,3,57,0
16,6,43,13,5,67,0
17,7,40,11,4,62,0
18,4,37,7,6,54,0
19,5,39,9,6,59,0
20,7,42,8,5,62,0
21,5,43,13,3,64,0
22,5,40,7,5,57,0
23,6,36,10,6,58,0
24,6,43,11,5,65,0
25,4,38,7,5,54,0
26,4,37,14,5,60,0
27,7,42,13,3,65,0
28,4,37,8,6,55,0
29,6,40,9,4,59,0
30,7,35,14,4,60,0
1,4,39,13,3,59,0
2,5,37,7,4,53,0
3,6,36,12,6,60,0
4,5,39,14,6,64,0
5,5,40,11,3,59,0
6,4,39,7,5,55,0
7,5,39,9,3,56,0
8,7,43,12,4,66,1
9,6,38,9,4,57,0
10,6,38,10,6,60,0
11,4,39,9,3,55,0
12,4,43,14,4,65,0
13,4,39,12,5,60,0
14,7,35,14,4,60,0
15,7,42,13,4,66,1
16,4,39,9,5,57,0
17,4,41,10,4,59,0
18,4,35,12,5,56,0
19,4,42,11,4,61,0
20,7,37,11,4,59,0
21,4,42,12,5,63,0
22,7,36,13,5,61,0
23,4,41,12,6,63,0
24,4,39,11,6,60,0
25,4,42,7,6,59,0
26,7,38,12,4,61,0
27,5,39,10,3,57,0
28,7,37,12,3,59,0
29,4,43,9,4,60,0
30,5,41,8,3,57,0
1,7,38,10,4,59,0
2,7,40,11,4,62,0
3,5,36,8,3,52,0
4,6,37,10,6,59,0
5,7,38,13,6,64,0
6,4,42,11,3,60,0
7,4,38,8,4,54,0
8,4,40,7,4,55,0
9,4,39,7,3,53,0
10,6,43,12,3,64,0
11,6,38,12,4,60,0
12,6,43,8,4,61,0
13,5,41,13,5,64,0
14,4,39,9,3,55,0
15,7,40,8,3,58,0
16,4,42,7,6,59,0
17,5,40,8,4,57,0
18,6,40,11,4,61,0
19,5,37,7,6,55,0
20,4,38,8,4,54,0
21,7,36,8,4,55,0
22,6,35,9,3,53,0
23,6,39,8,4,57,0
24,5,36,13,4,58,0
25,4,35,7,4,50,0
26,5,36,10,5,56,0
27,4,39,9,6,58,0
28,4,37,8,4,53,0
29,6,42,13,4,65,1
30,6,43,7,5,61,0
1,4,43,11,5,63,0
2,5,40,7,6,58,0
3,4,41,10,6,61,0
4,5,43,13,6,67,0
5,6,36,10,3,55,0
6,5,42,7,6,60,0
7,6,37,13,5,61,0
8,7,36,13,4,60,0
9,7,35,8,6,56,0
10,7,41,14,6,68,0
11,7,36,12,5,60,0
12,6,36,8,3,53,0
13,6,38,9,3,56,0
14,6,35,9,6,56,0
15,4,38,11,3,56,0
16,5,38,7,3,53,0
17,7,35,9,6,57,0
18,5,40,12,6,63,0
19,7,35,8,4,54,0
20,4,39,10,5,58,0
21,5,36,7,6,54,0
22,6,41,8,5,60,0
23,7,42,14,6,69,1
24,5,36,8,3,52,0
25,7,38,10,3,58,0
26,6,39,11,5,61,0
27,4,38,9,4,55,0
28,6,35,10,5,56,0
29,7,39,14,5,65,0
30,4,40,10,5,59,0
1,6,35,13,6,60,0
2,6,35,14,3,58,0
3,7,43,10,6,66,0
4,6,41,13,4,64,0
5,6,36,13,5,60,0
6,7,42,13,6,68,1
7,6,38,9,3,56,0
8,6,38,12,3,59,0
9,6,36,12,3,57,0
10,5,43,14,3,65,0
11,4,42,12,5,63,0
12,6,42,12,6,66,0
13,7,36,11,4,58,0
14,6,40,12,5,63,0
15,7,36,13,3,59,0
16,4,43,12,3,62,0
17,5,42,14,6,67,0
18,7,39,11,3,60,0
19,5,35,7,4,51,0
20,6,36,10,5,57,0
21,7,36,14,6,63,0
22,6,39,13,6,64,0
23,6,37,10,6,59,0
24,4,39,8,5,56,0
25,4,36,9,6,55,0
26,7,39,8,5,59,0
27,4,42,9,5,60,0
28,6,43,14,3,66,0
29,5,39,11,6,61,0
30,7,35,11,5,58,0
1,7,40,9,4,60,0
2,4,39,7,6,56,0
3,6,42,12,5,65,0
4,4,42,14,3,63,0
5,4,37,14,5,60,0
6,4,35,10,4,53,0
7,6,42,7,3,58,0
8,4,37,11,3,55,0
9,6,40,14,3,63,0
10,5,35,7,6,53,0
11,4,40,10,4,58,0
12,6,37,9,5,57,0
13,7,37,12,6,62,0
14,6,42,8,5,61,0
15,6,41,11,4,62,0
16,5,38,14,4,61,0
17,5,38,10,6,59,0
18,7,35,9,4,55,0
19,6,38,12,6,62,0
20,6,42,7,6,61,0
21,4,43,11,4,62,0
22,6,37,9,5,57,0
23,7,43,13,5,68,1
24,6,41,11,6,64,0
25,4,35,9,5,53,0
26,7,40,8,6,61,0
27,7,38,9,5,59,0
28,6,40,14,4,64,0
29,6,42,8,3,59,0
30,7,38,7,3,55,0
1,7,35,12,6,60,0
2,7,38,12,6,63,0
3,4,37,10,3,54,0
4,5,38,8,6,57,0
5,4,37,9,6,56,0
6,7,42,14,4,67,1
7,7,42,11,6,66,0
8,4,40,14,4,62,0
9,4,39,11,4,58,0
10,5,41,8,4,58,0
11,4,41,13,5,63,0
12,5,37,11,3,56,0
13,7,36,10,3,56,0
14,6,40,12,4,62,0
15,6,41,9,5,61,0
16,4,41,8,6,59,0
17,7,37,14,4,62,0
18,6,40,8,6,60,0
19,7,37,8,5,57,0
20,7,36,13,4,60,0
21,7,37,11,5,60,0
22,4,38,12,4,58,0
23,5,40,14,3,62,0
24,4,36,10,6,56,0
25,6,37,14,6,63,0
26,5,36,10,3,54,0
27,4,38,7,5,54,0
28,7,35,10,4,56,0
29,4,43,11,5,63,0
30,5,41,9,3,58,0
1,4,38,10,3,55,0
2,4,41,12,3,60,0
3,5,39,12,4,60,0
4,6,37,7,6,56,0
5,5,42,9,6,62,0
6,5,42,7,6,60,0
7,6,39,12,4,61,0
8,7,41,10,3,61,0
9,6,38,7,5,56,0
10,7,43,14,5,69,1
11,7,38,7,4,56,0
12,7,43,10,6,66,0
13,5,36,7,5,53,0
14,5,35,8,5,53,0
15,6,41,14,4,65,0
16,6,38,14,4,62,0
17,5,41,13,4,63,0
18,4,43,7,6,60,0
19,5,38,8,5,56,0
20,5,41,14,6,66,0
21,6,39,10,5,60,0
22,6,38,8,4,56,0
23,6,40,13,6,65,0
24,6,41,10,5,62,0
25,7,41,8,5,61,0
26,5,38,9,6,58,0
27,6,43,12,5,66,0
28,7,37,9,6,59,0
29,6,39,14,4,63,0
30,7,35,7,6,55,0
1,5,39,12,5,61,0
2,6,42,13,3,64,0
3,5,40,7,3,55,0
4,6,41,9,4,60,0
5,4,36,9,3,52,0
6,6,35,13,4,58,0
7,6,39,7,4,56,0
8,6,41,8,4,59,0
9,6,39,13,4,62,0
10,7,41,13,5,66,1
11,7,40,9,3,59,0
12,5,35,8,5,53,0
13,5,40,9,4,58,0
14,7,43,12,3,65,0
15,5,38,7,3,53,0
16,4,42,10,5,61,0
17,6,38,7,6,57,0
18,7,42,11,3,63,0
19,5,41,9,3,58,0
20,5,40,14,5,64,0
21,7,39,8,6,60,0
22,6,38,9,3,56,0
23,4,40,12,5,61,0
24,4,37,9,5,55,0
25,6,36,9,5,56,0
26,5,41,12,5,63,0
27,7,37,11,6,61,0
28,4,38,14,6,62,0
29,5,41,9,4,59,0
30,6,37,9,5,57,0
1,7,42,10,4,63,0
2,6,39,8,5,58,0
3,4,35,9,3,51,0
4,6,36,11,6,59,0
5,6,38,10,5,59,0
6,4,37,14,4,59,0
7,7,36,11,3,57,0
8,5,36,9,5,55,0
9,6,42,14,6,68,1
10,4,38,14,4,60,0
11,5,37,13,5,60,0
12,5,36,8,5,54,0
13,6,41,12,4,63,0
14,4,41,7,4,56,0
15,6,39,10,5,60,0
16,4,42,11,5,62,0
17,7,37,10,5,59,0
18,7,40,12,5,64,0
19,5,38,14,4,61,0
20,6,36,10,5,57,0
21,6,37,11,6,60,0
22,7,42,14,3,66,0
23,5,41,11,6,63,0
24,5,43,8,4,60,0
25,6,36,9,4,55,0
26,6,42,12,6,66,0
27,6,42,12,4,64,0
28,4,38,9,6,57,0
29,6,42,7,3,58,0
30,5,36,14,3,58,0
1,6,38,8,4,56,0
2,7,43,7,4,61,0
3,5,37,12,3,57,0
4,4,42,9,4,59,0
5,6,42,10,6,64,0
6,7,35,10,4,56,0
7,6,41,14,6,67,1
8,4,41,14,4,63,0
9,4,38,9,6,57,0
10,5,40,13,6,64,0
11,5,40,8,4,57,0
12,7,39,13,5,64,0
13,5,36,12,3,56,0
14,5,43,8,5,61,0
15,5,39,8,3,55,0
16,7,39,10,5,61,0
17,7,35,13,4,59,0
18,7,38,11,6,62,0
19,4,38,9,3,54,0
20,4,40,14,6,64,0
21,6,36,12,6,60,0
22,7,35,9,3,54,0
23,4,39,14,5,62,0
24,6,36,8,6,56,0
25,4,36,12,5,57,0
26,6,37,9,4,56,0
27,7,38,12,6,63,0
28,7,37,8,4,56,0
29,5,36,9,3,53,0
30,7,41,13,6,67,1
1,5,41,11,6,63,0
2,5,36,14,3,58,0
3,6,42,13,6,67,1
4,6,36,13,5,60,0
5,5,39,10,6,60,0
6,5,42,12,3,62,0
7,6,42,9,3,60,0
8,4,37,10,4,55,0
9,4,36,10,4,54,0
10,5,39,7,4,55,0
11,5,35,8,3,51,0
12,6,43,7,5,61,0
13,7,36,10,4,57,0
14,7,40,13,4,64,0
15,5,41,13,6,65,0
16,7,42,10,6,65,0
17,6,35,11,3,55,0
18,4,35,14,6,59,0
19,6,38,10,6,60,0
20,5,43,8,4,60,0
21,7,39,14,3,63,0
22,6,37,12,6,61,0
23,5,35,10,4,54,0
24,6,42,11,6,65,0
25,4,36,11,4,55,0
26,4,36,7,5,52,0
27,6,43,9,4,62,0
28,6,38,14,5,63,0
29,4,36,11,3,54,0
30,5,38,13,3,59,0
1,7,37,8,6,58,0
2,7,36,10,5,58,0
3,4,39,11,3,57,0
4,6,37,8,6,57,0
5,6,41,8,5,60,0
6,7,41,13,6,67,1
7,6,38,10,3,57,0
8,4,42,10,4,60,0
9,5,35,9,5,54,0
10,4,41,11,3,59,0
11,5,36,11,3,55,0
12,5,35,8,6,54,0
13,4,35,11,4,54,0
14,7,39,14,5,65,0
15,5,37,7,6,55,0
16,4,42,10,3,59,0
17,4,38,10,4,56,0
18,4,37,14,3,58,0
19,7,41,7,6,61,0
20,4,35,7,3,49,0
21,7,43,8,6,64,0
22,5,37,11,6,59,0
23,6,36,8,5,55,0
24,6,35,12,5,58,0
25,7,36,8,6,57,0
26,6,43,13,5,67,1
27,7,43,13,4,67,1
28,4,35,8,3,50,0
29,7,40,9,3,59,0
30,7,43,11,5,66,0
1,4,37,9,6,56,0
2,6,41,9,4,60,0
3,6,38,7,5,56,0
4,7,36,12,5,60,0
5,7,41,13,5,66,1
6,7,41,10,6,64,0
7,5,35,9,4,53,0
8,7,37,10,6,60,0
9,4,40,8,6,58,0
10,6,40,9,5,60,0
11,4,36,13,3,56,0
12,5,38,11,6,60,0
13,5,40,13,5,63,0
14,6,41,7,6,60,0
15,6,37,13,3,59,0
16,6,40,8,5,59,0
17,4,37,12,4,57,0
18,5,40,10,3,58,0
19,6,39,9,3,57,0
20,7,37,13,4,61,0
21,6,40,14,4,64,0
22,5,38,13,3,59,0
23,5,42,10,6,63,0
24,5,37,10,3,55,0
25,7,38,10,4,59,0
26,6,41,9,5,61,0
27,6,38,8,3,55,0
28,4,39,12,6,61,0
29,7,36,14,4,61,0
30,6,43,8,4,61,0
1,7,35,7,5,54,0
2,4,37,14,4,59,0
3,7,40,7,6,60,0
4,6,35,10,5,56,0
5,5,42,8,6,61,0
6,4,40,11,4,59,0
7,7,37,10,6,60,0
8,5,37,8,5,55,0
9,7,37,9,4,57,0
10,5,37,13,5,60,0
11,5,36,14,4,59,0
12,6,40,11,3,60,0
13,6,43,9,6,64,0
14,5,35,14,3,57,0
15,7,42,7,4,60,0
16,6,35,10,3,54,0
17,5,37,10,3,55,0
18,7,43,8,3,61,0
19,6,41,11,3,61,0
20,4,40,7,3,54,0
21,5,35,12,3,55,0
22,6,38,11,3,58,0
23,6,43,8,4,61,0
24,4,39,11,3,57,0
25,6,41,9,3,59,0
26,6,36,9,4,55,0
27,4,40,12,4,60,0
28,5,40,8,5,58,0
29,6,40,7,5,58,0
30,7,43,12,4,66,1
1,6,43,14,6,69,1
2,5,38,12,5,60,0
3,4,39,7,3,53,0
4,7,39,10,5,61,0
5,7,37,7,3,54,0
